Date,US dollar (USD),Euro (EUR),Japanese yen (JPY),Pound sterling (GBP),Canadian dollar (CAD),Swiss franc (CHF),Indian rupee (INR),Chinese renmimbi (CNY),Turkish lira (TRY),Saudi riyal (SAR),Indonesian rupiah (IDR),UAE dirham (AED),Thai baht THB),Vietnamese dong (VND),Egyptian pound (EGP),Korean won (KRW),Russian ruble (RUB),South African rand (ZAR),Australian dollar (AUD)
1979-01-01,226.0,137.06,0.0,110.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-01-02,226.8,137.29,43164.91,111.45,263.74,359.62,1792.85,0.0,0.0,735.6,138160.45,851.29,4454.55,0.0,0.0,107470.04,0.0,194.56,193.61
1979-01-03,218.6,134.01,43717.9,107.98,264.39,365.87,1802.15,0.0,0.0,739.42,138877.01,855.71,4477.66,0.0,0.0,108027.43,0.0,192.23,192.97
1979-01-04,223.15,136.79,43674.89,110.66,264.14,366.38,1811.74,0.0,0.0,743.36,139616.26,860.26,4501.49,0.0,0.0,108602.47,0.0,193.01,194.55
1979-01-05,225.5,138.35,44582.47,111.63,268.39,373.72,1843.57,0.0,0.0,756.42,142069.1,875.38,4580.57,0.0,0.0,110510.44,0.0,196.4,197.94
1979-01-08,223.1,136.38,44436.22,110.15,269.53,372.64,1841.33,0.0,0.0,750.88,141870.9,869.67,4574.18,0.0,0.0,110356.27,0.0,197.16,197.92
1979-01-09,224.0,137.29,44045.61,110.95,266.3,372.78,1822.52,0.0,0.0,743.34,140446.68,860.94,4528.26,0.0,0.0,109248.42,0.0,195.04,195.93
1979-01-10,220.7,135.48,43366.38,109.94,261.79,365.87,1803.5,0.0,0.0,735.58,138981.01,851.96,4481.01,0.0,0.0,108108.33,0.0,191.95,192.68
1979-01-11,220.65,135.94,43770.55,110.19,262.51,370.88,1814.57,0.0,0.0,740.1,139833.76,857.18,4508.5,0.0,0.0,108771.66,0.0,192.35,193.81
1979-01-12,217.6,134.08,42837.13,109.02,257.19,364.62,1782.62,0.0,0.0,727.06,137371.81,842.09,4429.12,0.0,0.0,106856.59,0.0,187.08,189.8
1979-01-15,216.85,133.83,42795.27,108.81,256.83,367.75,1782.01,0.0,0.0,718.14,135122.4,825.53,4374.72,0.0,0.0,106819.82,0.0,187.25,189.84
1979-01-16,220.65,135.62,43225.85,110.19,260.89,367.73,1796.52,0.0,0.0,723.99,136222.93,832.25,4410.35,0.0,0.0,107689.84,0.0,189.25,191.88
1979-01-17,227.25,139.22,44349.65,113.26,267.56,376.22,1842.06,0.0,0.0,742.34,139676.15,853.35,4522.15,0.0,0.0,110419.75,0.0,196.0,197.13
1979-01-18,231.75,141.66,44823.37,115.3,270.81,379.1,1861.74,0.0,0.0,750.27,141168.09,862.47,4570.45,0.0,0.0,111599.19,0.0,197.11,198.96
1979-01-19,230.55,141.14,46908.77,115.07,280.94,396.08,1940.75,0.0,0.0,782.11,147159.35,899.07,4764.43,0.0,0.0,116335.53,0.0,206.5,207.64
1979-01-22,235.0,144.0,46387.41,117.59,278.27,393.5,1886.87,0.0,0.0,781.14,146492.75,898.43,4746.64,0.0,0.0,115493.28,0.0,203.47,205.66
1979-01-23,230.0,141.14,45633.13,115.23,273.28,386.81,1895.37,0.0,0.0,768.44,144110.68,883.82,4669.46,0.0,0.0,113615.29,0.0,200.67,202.03
1979-01-24,236.1,144.69,46372.42,118.05,278.94,392.79,1926.08,0.0,0.0,780.89,146445.39,898.14,4745.11,0.0,0.0,115455.95,0.0,203.92,205.6
1979-01-25,233.85,143.98,46890.28,117.34,280.1,397.24,1937.79,0.0,0.0,785.63,147335.76,903.6,4773.96,0.0,0.0,116157.91,0.0,205.16,206.49
1979-01-26,235.45,144.64,46801.3,118.02,279.57,394.61,1929.26,0.0,0.0,782.17,146687.14,899.62,4752.94,0.0,0.0,115646.54,0.0,204.26,205.97
1979-01-29,235.2,145.25,46917.32,117.89,279.33,395.28,1886.95,0.0,0.0,780.0,146264.74,896.12,4721.93,0.0,0.0,115498.47,0.0,203.14,205.97
1979-01-30,233.5,144.09,46907.17,116.93,278.46,394.21,1921.57,0.0,0.0,777.89,145868.42,893.69,4709.14,0.0,0.0,115185.51,0.0,203.06,205.58
1979-01-31,233.7,144.84,45160.33,117.44,267.1,379.32,1840.82,0.0,0.0,745.2,139739.28,856.14,4511.27,0.0,0.0,108235.82,0.0,194.53,197.17
1979-02-01,229.35,142.85,47160.45,115.77,279.15,397.11,1927.14,0.0,0.0,780.14,146291.24,896.28,4722.79,0.0,0.0,113310.67,0.0,202.31,205.83
1979-02-02,230.3,143.48,46328.34,116.31,275.53,393.04,1907.37,0.0,0.0,772.14,144790.59,887.09,4674.34,0.0,0.0,112148.33,0.0,199.41,203.54
1979-02-05,243.1,150.26,47766.02,122.18,285.76,403.85,1971.85,0.0,0.0,800.5,149178.81,909.71,4797.3,0.0,0.0,115919.09,0.0,206.98,210.87
1979-02-06,244.5,150.8,48317.7,122.56,289.72,408.72,1996.78,0.0,0.0,810.76,151091.56,921.38,4858.81,0.0,0.0,117405.39,0.0,210.96,214.0
